Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
179550498,James,Percival Everett,"Everett, Percival",,"=""0385550375""","=""9780385550376""",3,4.49,Doubleday,Kindle Edition,304,2024,2024,2025/04/15,2024/10/21,,,read,,,,1,0
8341938,The Last Empty Places: A Past and Present Journey Through the Blank Spots on the American Map,Peter     Stark,"Stark, Peter",,"=""0345521900""","=""9780345521903""",0,3.76,Ballantine Books,Kindle Edition,256,2010,2010,,2011/06/25,couldn-t-finish,couldn-t-finish (#40),couldn-t-finish,,,,0,0
198902277,The Wedding People,Alison Espach,"Espach, Alison",,"=""""","=""""",0,4.14,Henry Holt and Co.,Hardcover,384,2024,2024,,2025/04/14,to-read,to-read (#117),to-read,,,,0,0
37642030,The Hunting Party,Lucy Foley,"Foley, Lucy",,"=""0008297126""","=""9780008297121""",0,3.61,HarperCollins UK,Paperback,406,2019,2018,,2025/04/07,to-read,to-read (#116),to-read,,,,0,0
60166076,Kismet,Amina Akhtar,"Akhtar, Amina",,"=""1542034248""","=""9781542034241""",0,3.52,Thomas & Mercer,Kindle Edition,336,2022,2022,,2025/04/07,to-read,to-read (#115),to-read,,,,0,0
213341733,Sad Tiger,Neige Sinno,"Sinno, Neige",Natasha Lehrer,"=""1644214687""","=""9781644214688""",0,4.18,Seven Stories Press,Kindle Edition,198,2025,2023,,2025/04/06,to-read,to-read (#114),to-read,,,,0,0
214151924,The Usual Desire to Kill,Camilla Barnes,"Barnes, Camilla",,"=""1668062836""","=""9781668062838""",0,3.70,Scribner,Hardcover,256,2025,2025,,2025/04/06,to-read,to-read (#113),to-read,,,,0,0
220259184,Heartwood,Amity Gaige,"Gaige, Amity",,"=""1668063603""","=""9781668063606""",0,4.06,Simon & Schuster,Hardcover,320,2025,2025,,2025/04/06,to-read,to-read (#112),to-read,,,,0,0
213870090,Fagin the Thief,Allison Epstein,"Epstein, Allison",,"=""0385550707""","=""9780385550703""",0,4.20,Doubleday,Hardcover,336,2025,2025,,2025/04/06,to-read,to-read (#111),to-read,,,,0,0
8161568,Kitchen Confidential: Adventures in the Culinary Underbelly,Anthony Bourdain,"Bourdain, Anthony",,"=""1596917245""","=""9781596917248""",0,4.18,Bloomsbury USA,Kindle Edition,321,2008,2000,,2025/03/10,currently-reading,currently-reading (#6),currently-reading,,,,1,0
199898250,We Used to Live Here,Marcus Kliewer,"Kliewer, Marcus",,"=""""","=""""",4,3.69,Atria/Emily Bestler Books,Kindle Edition,320,2024,2024,2025/04/02,2025/01/07,,,read,,,,1,0
24800,House of Leaves,Mark Z. Danielewski,"Danielewski, Mark Z.",,"=""""","=""""",5,4.09,Random House,Paperback,710,2000,2000,2005/11/30,2017/11/29,,,read,,,,1,0
199698485,The God of the Woods,Liz    Moore,"Moore, Liz",,"=""""","=""""",0,4.15,Riverhead Books,Kindle Edition,490,2024,2024,,2025/04/02,to-read,to-read (#110),to-read,,,,0,0
