Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2018-11-13,Ferdinand,2017,https://boxd.it/yLRXl,3,Yes,,2018-11-13
2018-11-18,A Quiet Place,2018,https://boxd.it/yXtvV,4,,bf!,2018-11-18
2018-11-18,The Hateful Eight,2015,https://boxd.it/yXtE9,4,,,2018-11-18
2018-12-09,The Wolf of Wall Street,2013,https://boxd.it/zNldX,4,,,2018-12-08
2018-12-10,Home Alone,1990,https://boxd.it/zQ8mD,3.5,Yes,,2018-12-08
2018-12-18,Dumplin',2018,https://boxd.it/AaJ63,3,,,2018-12-14
2018-12-22,Ralph Breaks the Internet,2018,https://boxd.it/Al3oL,2,,,2018-12-20
2018-12-28,Home Alone 2: Lost in New York,1992,https://boxd.it/AFM63,2.5,Yes,,2018-12-26
2018-12-31,Mrs. Doubtfire,1993,https://boxd.it/AQvhl,3,Yes,,2018-12-29
2019-01-02,Game Night,2018,https://boxd.it/B32PT,3,,,2018-12-30
2019-01-02,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/B337X,3.5,,,2018-12-31
2019-01-13,Black Mirror: Bandersnatch,2018,https://boxd.it/BRMg1,2.5,,,2019-01-11
2019-01-20,Wonder,2017,https://boxd.it/Ci1Dr,3,,,2019-01-19
2019-01-24,Fyre Fraud,2019,https://boxd.it/CvXm5,3,,,2019-01-19
2019-02-03,Eighth Grade,2018,https://boxd.it/D91xf,3.5,,bfi,2019-02-01
2019-02-24,Solo: A Star Wars Story,2018,https://boxd.it/EgRkb,3.5,,,2019-02-17
2019-03-11,Star Wars: The Last Jedi,2017,https://boxd.it/F2Hxb,3,,bf0,2019-03-07
2019-03-14,Leaving Neverland,2019,https://boxd.it/FdMX1,3.5,,,2019-03-07
2019-03-11,Diary of a Wimpy Kid: The Long Haul,2017,https://boxd.it/F2GwV,2,,bfi,2019-03-09
2019-03-11,Adventures in Babysitting,1987,https://boxd.it/F2HdF,2,,bf0,2019-03-09
2019-03-14,The Ritual,2017,https://boxd.it/FdMLf,1.5,,bfi,2019-03-13
2019-03-19,Lady Bird,2017,https://boxd.it/FtZd3,4,,bfi,2019-03-18
2019-04-03,First Reformed,2017,https://boxd.it/Gesbd,2.5,,,2019-04-03
2019-05-16,Three Identical Strangers,2018,https://boxd.it/IfiKR,3.5,,,2019-05-01
2019-08-07,BlacKkKlansman,2018,https://boxd.it/MoOwh,4,,bf0,2019-08-03
2019-08-29,The Disaster Artist,2017,https://boxd.it/NAHRb,4,,,2019-08-28
2019-09-02,Bad Times at the El Royale,2018,https://boxd.it/NNDxR,4,,bfi,2019-09-01
2019-09-03,A Simple Favor,2018,https://boxd.it/NOVfX,2,,bf0,2019-09-02
2019-09-04,Funny Farm,1988,https://boxd.it/NUA1R,3,Yes,bf0,2019-09-02
2019-09-07,Bohemian Rhapsody,2018,https://boxd.it/O4hQh,3.5,,bf0,2019-09-07
2019-09-30,The Autopsy of Jane Doe,2016,https://boxd.it/PdzJP,2.5,,,2019-09-28
2019-10-05,Moonlight,2016,https://boxd.it/PvE1f,3.5,,bf0,2019-10-02
2019-10-08,The Cabin in the Woods,2011,https://boxd.it/PGMH1,3.5,,bf0,2019-10-06
2019-10-16,Fractured,2019,https://boxd.it/QcLYp,3,,bfi,2019-10-14
2019-10-18,We Have Always Lived in the Castle,2018,https://boxd.it/Qjl4z,3.5,,bf0,2019-10-17
2019-10-20,The NeverEnding Story,1984,https://boxd.it/QrY4J,4,,bf0,2019-10-18
2019-10-20,The Others,2001,https://boxd.it/QrYan,4,,bfi,2019-10-19
2019-10-22,Isn't It Romantic,2019,https://boxd.it/QzqJz,2.5,,bf0,2019-10-21
2019-10-29,The Lost Boys,1987,https://boxd.it/QWr4j,3.5,,bfi,2019-10-28
2019-10-30,The Nightmare Before Christmas,1993,https://boxd.it/R0a7D,4,Yes,bf0,2019-10-29
2019-11-01,Us,2019,https://boxd.it/R7l4p,4,,bfi,2019-10-30
2019-11-19,The Million Dollar Duck,1971,https://boxd.it/SefPn,2,,bf0,2019-11-17
2019-11-24,The Post,2017,https://boxd.it/Su4ab,4,,bf0,2019-11-22
2019-11-25,Ferris Bueller's Day Off,1986,https://boxd.it/Sz2I1,4,,bf0,2019-11-24
