Title,Type,Summary,Date Finished,Rating
"Atlanta, Season 3",Comedy,European tour season,"July 19, 2026",4
"The Bear, Season 5",Drama,The final season zooms in on a single day of service that was a fiasco.,"July 19, 2026",5
Widows Bay,Horror,Creepy island trying to shed itself of its curse,"June 25, 2026",4
"Hacks, Season 5",Comedy,The march toward a big MSG show finale.  I will miss Ana and Deborah.,"May 25, 2026",3.5
"Bookie, Season 2",Comedy,"Higher stakes and also funnier than season 1. Such an underrated show. ","May 19, 2026",4
"Bookie, Season 1",Comedy,A couple of bookies work their trade,"May 3, 2026",4
Malcom in the Middle: Life’s Still Unfair,Comedy,Sitcom family revival.,"May 1, 2026",2
"Big Mistakes, Season 1",Comedy/Action,"Dan Levy is a pastor who ends up being a runner for mobsters. ","April 21, 2026",4
"Hacks, Season 4",Comedy,Debrah has a Late Night show,"April 17, 2026",4
The Chair Company,"Comedy, but dark","Guy looks to complain about a defective chair and discovers coverups and corruption, but it’s really about how weird he is.","April 16, 2026",2.5
"The Pitt, Season 2",Drama,"Computers go out, Robbie still struggles with burnout and is bringing everyone down.","April 16, 2026",4.5
DTF St Louis,Drama/Mystery,"Weird Kittle Jason Bateman murder mystery ","April 13, 2026",2.5
Jury Duty Presents: Company Retreat,Comedy,"One real guy believes the company retreat is real, no matter that it’s bananas. ","April 9, 2026",3
"Atlanta, Season 2",Comedy,"Paper Boi is making it, but he’s souring on Earn.  Bibby!","April 7, 2026",4
"Curb Your Enthusiasm, Season 7 (rewatch)",Comedy,Sienfeld reunion episode,"April 2, 2026",5
"Atlanta, Season 1 (rewatch)",Comedy,Earn is so broke,"March 26, 2026",4.5
"Man On the Inside, Season 2",Comedy/Mystery,Our hero infiltrates a small college to find out who stole the president’s laptop and is derailing a big donation.,"March 25, 2026",4
"Curb Your Enthusiasm, Season 6 (rewatch)",Comedy,The Blacks move in,"March 16, 2026",4.5
The Full Monty,Comedy/Drama,"The characters from the movie and their struggles, 25 years later.","March 10, 2026",4
"Curb Your Enthusiasm, Season 5 (rewatch)",Comedy,"Larry hires an investigator to figure out if he’s adopted.  Not a lot of through-plot, but a funny season.","March 9, 2026",4
"A Knight of the Seven Kingdoms, Season 1",Scripted Drama,"Dunk is a really tall knight with no real prospects.  He meets Egg, a kid who wants to be his squire.","February 23, 2026",3.5
"Only Murderers In the Building, Season 5",Comedy/Mystery,Investigation of the dead doorman,"February 15, 2026",3
"Breeders, Season 3",Scripted Comedy/Drama,More of the exasperated couple in the crazy house.,"November 28, 2025",3
"You, Season 2",Scripted Drama,Creepy stalker moves to LA and victimizes more people in his orbit.,"October 6, 2025",3
"Alien Earth, Season 1",Scripted Horror/Sci Fi,"Mostly about these kids whose consciousness were but into robots, but also a good deal of space monsters.","October 2, 2025",3.5
"You, Season 1",Scripted Drama,"Creepy stalker guy show, but from his perspective.","August 25, 2025",3
Shogun,Scripted Drama,Dramatization of the Clavell novel.,"August 19, 2025",4
"The Bear, Season 4",Scripted Drama,Race to save the restaurant before Uncle Jimmy pulls the plug.  Some of our favorite family talk and make mental health progress,"July 28, 2025",4.5
"Only Murderers In the Building, Season 4",Comedy/Mystery,A crew tries to shoot a movie version of the podcast while our team investigates the murder of Sazz,"July 27, 2025",3.5
Trophy Wife: Murder on Safari,Documentary,A dentist with a side piece murders his wife in Zambia,"July 23, 2025",2.5
The Studio,Comedy,Seth Rogan as the head of a movie studio.,"July 20, 2025",4
"The Last of Us, Season 2",Scripted Drama/Action,Ellie and Deana hook up and then seek revenge.,"May 26, 2025",3.5
"Hacks, Season 4",Comedy,The Late night show season,"May 20, 2025",4
The Four Seasons,Comedy,4 couples travel together four times a year,"May 13, 2025",3.5
The Righteous Gemstones Season 4,Comedy,"Eli dates Ms Laurie, Teenjus, BJ & a monkey.","May 6, 2025",3.5
"The Pitt, Season 1",Scripted Drama,A single day in a hectic emergency room,"April 16, 2025",5
"The Americans, Season 1",Scripted Drama,80s spy vs spy show,"March 24, 2025",4
"Severance, Season 2",Scripted Drama,"More weirdness, re-integration, thruples, and rescuing Gemma","March 22, 2025",4.5
Adolescence,Scripted Drama,"British crime drama.  Four episodes, each shot in one continuous take.","March 16, 2025",4
"Undone, Season 2",Animated,More time shenanigans with the family.,"February 15, 2025",3.5
"Undone, Season 1",Animated,"An accident detached our hero from the normal space-time continuum, and she investigates her father’s murder. Or maybe she’s just crazy.","February 9, 2025",4
Black Doves,Scripted Drama,British indie spies and murderers have to figure out what happened to the Chinese ambassador and why one of the spies' illicit lover was murdered.,"January 24, 2025",3.5
"Landman, Season 1",Scripted Drama,Billy Bob Thornton drills for oil,"January 12, 2025",4.5
"Hacks, Season 3",Comedy,Will Jean Smart get her own late night talk show?,"January 7, 2025",3.5
Disclaimer,Scripted Drama,An old guy writes a book in order to ruin a journalist who he blames for his son’s drowning.,"November 12, 2024",4
Expedition From Hell: The Lost Tapes,Documentary,This guy organizes an expedition across South America but then it turns out that he’s a nut job.,"October 30, 2024",3.5
Ripley,Scripted Drama,Black and White saga of how Tom Ripley takes it all from Dickie Greenleaf,"October 3, 2024",4.5
Mr and Mrs Smith,Scripted Action/Drama,Married couple gets sent out on spy missions.,"September 30, 2024",3.5
Fallout Season 1,Scripted Action,People try to figure out their post-apocalyptic world amongst a ton of violence.,"September 16, 2024",4
"Interview With The Vampire, Season 1",Scripted Drama,Vampires in New Orleans from 1910s to 1950s,"September 2, 2024",3.5
"The Bear, Season 3",Scripted Drama,"The restaurant is open, but will critics like it?","August 30, 2024",4
"House of the Dragon, Season 2",Scripted Drama,Early maneuvering in the war between green and black,"August 5, 2024",3.5
Hard Knocks Offseason: New York Giants,"Documentary, Sports",Giants handle free agency and the draft.,"July 28, 2024",4
"The After Party, Season 2",Comedy/Mystery,"The groom was murdered on his wedding night. Who did it, revealed through how each guest remembered the night.","June 17, 2024",4
Baby Reindeer,Drama,Comedian has a crazy stalker,"May 5, 2024",4
Curb Your Enthusiasm Season 12,Comedy,Final Season. Larry brought water to Rae when in line to vote.,"April 9, 2024",4.5
Quiet On Set,Documentary,Nickelodeon was a shitshow in the 90s,"April 3, 2024",3
"Fargo, Season 5",Scripted Drama,Wife who escaped from toxic sheriff gets sucked back in.,"March 16, 2024",4.5
The Curse,Scripted Comedy,Couple making HGTV show makes everything cringy.,"January 10, 2024",3.5
Slow Horses Season 1,Scripted Drama/Action,Spy show.  Loser MI-5 agents have to rescue a kid who is kidnapped by white supremicists.,"December 10, 2023",3.5
Breeders Season 2,Scripted Comedy/Drama,Jump forward to season with teen kids,"December 5, 2023",3.5
Only Murderers in the Building Season 3,Scripted Mystery/Comedy,The season where the lead in Oliver’s play gets killed,"November 17, 2023",3.5
Breeders Season 1,Scripted Comedy,British family in the house with so many levels,"November 5, 2023",3.5
Marvelous Mrs Maisel Season 5,Scripted Comedy/Drama,Final season. Jumps around in time.,"October 12, 2023",4.5
Curb Your Enthusiasm Season 9 (rewatch),Scripted Comedy,Fatwa! Season,"October 10, 2023",4.5
The Other Black Girl Season 1,Scripted Drama,Office place drama with a little creepiness turns into a horror story 2/3 through the season.,"September 21, 2023",3.5
The Bear Season 2,Scripted Drama,"The season follows the process to open a new fine dining restaurant, with some interpersonal drama mixed in","September 10, 2023",4
Curb Your Enthusiasm Season 8 (rewatch),Scripted Comedy,"New York season, highlighted by the Michael J Fox episode.","September 3, 2023",4
Curb Your Enthusiasm Season 7 (rewatch),Scripted Comedy,"This is the season with Wendy Wheelchair, “there are only two ways to hurt your neck”, and the Seinfeld reunion","August 24, 2023",5
Painkiller,Scripted Drama,3 parallel stories about OxyContin,"August 21, 2023",3.5
The Righteous Gemstones Season 3,Scripted Comedy,Mega Church Family spews heavenly one-liners,"August 14, 2023",4
The Other Two Season 1,Scripted Comedy,The brother and sister of a teen YouTube star,"June 11, 2023",4
Shiny Happy People,Documentary,History of the evangelical Duggar family.,"June 10, 2023",3
Reservation Dogs Season 1,Scripted Comedy/Drama,Kids in an Indian Reservation do petty crimes to make money to leave.,"April 2, 2023",4
Better Call Saul Season 6,Scripted Drama,The completion of the Saul Goodman story,"March 24, 2023",4.5
Jared from Subway: Catching a Monster,Documentary,Poorly done documentary on a case we already know,"March 21, 2023",2
Servant Season 4,Scripted Drama,Creepy Nanny in a house show,"March 16, 2023",2.5
The Last of Us,Scripted Drama,"Zombie show without all that many zombies, but good comedy and still intense anyway","March 13, 2023",4.5
The Bear Season 1,Scripted Drama,Guy runs a kitchen in Chicago,"March 6, 2023",3
Crunk on Earth,Mocumentary,"World History from a dimwit, kind of like Ali G","February 26, 2023",4
Murdaugh Murders: A Southern Scandal,Documentary,Murdaugh stuff with lots of interviews with Paul’s friends,"February 25, 2023",3
Hacks Season 2,Comedy,Jean Smart is a washed up comedian who makes a comeback,"January 31, 2023",4
White Lotus Season 2,Scripted Drama,Bunch of people have happenings at a five star resort.,"December 12, 2022",4
1899,Scripted Drama,"Titanic x mystery-box show, from the creators of Dark","November 28, 2022",3
The Time Traveler’s Wife,Scripted Drama,Poor dude hops around in time and has a girl in all the years,"November 1, 2022",3
The Patient,Scripted Drama/Thriller,Steve Carrell is a therapist who gets kidnapped by his serial killer patient,"October 27, 2022",4
The Watcher,Scripted Drama/Thriller,Family gets mysterious letters from someone who secretly watches them.,"October 26, 2022",3
House of the Dragon,Scripted Drama/Fantasy,Westeros political shenanigans plus dragons,"October 23, 2022",4.5
Only Murderers In the Building Season 2,Scripted Mystery/Comedy,Another mysteries in the Arconia,"August 22, 2022",4
Russian Doll Season 1,Scripted Drama,Woman in a time loop finds a guy in the same loop.,"July 18, 2022",3
Below Deck Season 9,Reality,,"July 3, 2022",2.5
Candy,Scripted Drama,Late 70s housewife kills another housewife in her social circle,"May 14, 2022",3
Captive Audience: A Real American Horror Story,Documentary,"Kidnapped kid, held for a long time, gets recovered, and then his older brother turns Yosemite murderer","May 7, 2022",2
Severance,Scripted,Office workers with a chip making it so that their in-work and out-of-work selves have no knowledge of one another.,"April 18, 2022",3.5
Marvelous Mrs Maisel Season 4,Scripted Comedy,1960s Comedian,"April 1, 2022",4
Servant Season 3,Scripted Drama/Thriller,Mysterious Nanny Show,"March 25, 2022",3.5
Vice Principals Season 2,Scripted Comedy,Buffoons from season 1 run the high school themselves,"March 18, 2022",3.5
The After Party,Scripted Comedy,"Murder mystery, each epiosde from a different character's POV","March 15, 2022",4
Euphoria Season 2,Scripted Drama,Dark high school drama,"March 5, 2022",4
The Righteous Gemstones Season 2,Scripted Comedy,Mega Church Family spews heavenly one-liners,"March 1, 2022",4.5
Vice Principals Season 1,Scripted Comedy,2 buffoons try to sabotage the new principal at a high school,"February 15, 2022",4
Euphoria Season 1,Scripted Drama,Dark high school drama,"January 20, 2022",4.5
Station 11,Scripted Drama,Follows several people both before and after most of the population is wiped out due to a pandemic.,"January 15, 2022",5
Dexter: New Blood Season 1,Scripted Drama,Dexter gets his son into the serial killer biz.,"January 9, 2022",3
Curb Your Enthusiasm Season 11,Comedy,The season where Larry dates a council woman and casts a shitty actress in his show so her dad won’t sue him.,"December 28, 2021",3.5
Erased,Anime,Guys consciousness goes back to his kid self so he can stop a serial killer.,"December 19, 2021",2
The Shrink Next Door,Scripted Drama,Shrink cons a patient out of millions over years.,"December 16, 2021",3
Back to Life,Scripted Drama,Woman returns home after 18 years in prison,"November 12, 2021",4
Rick and Morty Season 5,Animated Comedy,,"November 6, 2021",3.5
"Goliath, Season 1",Scripted Legal Drama,Billy Bob Thornton lawyer show,"October 27, 2021",3
Only Murders in the Building,Scripted Mystery/ Comedy,"Steve Martin, Martin Short, and Selena Gomez investigate a murder in their swanky nyc building.","October 19, 2021",4.5
Squid Game,Scripted Drama,Korean show where people have to play games where the losers are murdered and the winner gets rich.,"October 15, 2021",2.5
Wild Murder,Doc,Guy kills his wife RMNP.  Turns out that the death of his first wife is mega-suspicious in retrospect.,"October 6, 2021",2.5
